category,SUB_ICB_LOCATION_NAME,REGION_NAME,dna_rate_pct
Top 10 Highest DNA Rate,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,Midlands,32.84
Top 10 Highest DNA Rate,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",South West,21.84
Top 10 Highest DNA Rate,NHS Hertfordshire and West Essex ICB - 06N,East of England,21.49
Top 10 Highest DNA Rate,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",South East,17.35
Top 10 Highest DNA Rate,NHS Cheshire and Merseyside ICB - 99A,North West,16.93
Top 10 Highest DNA Rate,NHS Lancashire and South Cumbria ICB - 02G,North West,15.54
Top 10 Highest DNA Rate,NHS Greater Manchester ICB - 14L,North West,14.88
Top 10 Highest DNA Rate,NHS Staffordshire and Stoke-on-Trent ICB - 05W,Midlands,14.72
Top 10 Highest DNA Rate,NHS Lancashire and South Cumbria ICB - 01A,North West,14.67
Top 10 Highest DNA Rate,NHS Coventry and Warwickshire ICB - B2M3M,Midlands,14.59
Bottom 10 Lowest DNA Rate,NHS Humber and North Yorkshire ICB - 03H,North East and Yorkshire,0.0
Bottom 10 Lowest DNA Rate,NHS Suffolk and North East Essex ICB - 07K,East of England,0.0
Bottom 10 Lowest DNA Rate,NHS Suffolk and North East Essex ICB - 06L,East of England,2.21
Bottom 10 Lowest DNA Rate,NHS Mid and South Essex ICB - 99E,East of England,2.59
Bottom 10 Lowest DNA Rate,NHS Mid and South Essex ICB - 99F,East of England,3.18
Bottom 10 Lowest DNA Rate,NHS West Yorkshire ICB - 03R,North East and Yorkshire,3.23
Bottom 10 Lowest DNA Rate,NHS Cornwall and The Isles Of Scilly ICB - 11N,South West,3.27
Bottom 10 Lowest DNA Rate,NHS Sussex ICB - 97R,South East,3.3
Bottom 10 Lowest DNA Rate,NHS Dorset ICB - 11J,South West,3.35
Bottom 10 Lowest DNA Rate,NHS Hertfordshire and West Essex ICB - 07H,East of England,3.48
